method,compliance_rate,seed,total_time
random,1.0,0,472.25
back_to_front,1.0,0,461.15000000000003
front_to_back,1.0,0,644.25
wilma,1.0,0,415.35
steffen_perfect,1.0,0,372.15000000000003
steffen_modified,1.0,0,386.40000000000003
random,1.0,1,463.90000000000003
back_to_front,1.0,1,441.3
front_to_back,1.0,1,599.95
wilma,1.0,1,409.70000000000005
steffen_perfect,1.0,1,369.70000000000005
steffen_modified,1.0,1,381.90000000000003
random,1.0,2,468.40000000000003
back_to_front,1.0,2,453.40000000000003
front_to_back,1.0,2,637.1
wilma,1.0,2,406.20000000000005
steffen_perfect,1.0,2,376.8
steffen_modified,1.0,2,386.65000000000003
random,1.0,3,475.05
back_to_front,1.0,3,444.05
front_to_back,1.0,3,617.35
wilma,1.0,3,416.1
steffen_perfect,1.0,3,369.20000000000005
steffen_modified,1.0,3,373.5
random,1.0,4,435.55
back_to_front,1.0,4,461.35
front_to_back,1.0,4,648.9000000000001
wilma,1.0,4,417.55
steffen_perfect,1.0,4,375.90000000000003
steffen_modified,1.0,4,387.8
random,1.0,5,450.95000000000005
back_to_front,1.0,5,447.65000000000003
front_to_back,1.0,5,614.6
wilma,1.0,5,386.90000000000003
steffen_perfect,1.0,5,376.25
steffen_modified,1.0,5,375.70000000000005
random,1.0,6,462.85
back_to_front,1.0,6,429.45000000000005
front_to_back,1.0,6,597.7
wilma,1.0,6,407.75
steffen_perfect,1.0,6,367.95000000000005
steffen_modified,1.0,6,378.15000000000003
random,1.0,7,442.90000000000003
back_to_front,1.0,7,421.5
front_to_back,1.0,7,589.4
wilma,1.0,7,388.6
steffen_perfect,1.0,7,370.45000000000005
steffen_modified,1.0,7,371.1
random,1.0,8,434.05
back_to_front,1.0,8,452.65000000000003
front_to_back,1.0,8,627.6500000000001
wilma,1.0,8,398.25
steffen_perfect,1.0,8,368.65000000000003
steffen_modified,1.0,8,374.15000000000003
random,1.0,9,454.25
back_to_front,1.0,9,431.40000000000003
front_to_back,1.0,9,600.1
wilma,1.0,9,397.85
steffen_perfect,1.0,9,366.3
steffen_modified,1.0,9,373.20000000000005
random,1.0,10,449.3
back_to_front,1.0,10,449.95000000000005
front_to_back,1.0,10,617.5500000000001
wilma,1.0,10,404.45000000000005
steffen_perfect,1.0,10,368.35
steffen_modified,1.0,10,384.6
random,1.0,11,456.85
back_to_front,1.0,11,452.35
front_to_back,1.0,11,600.6
wilma,1.0,11,403.0
steffen_perfect,1.0,11,369.95000000000005
steffen_modified,1.0,11,374.8
random,1.0,12,446.35
back_to_front,1.0,12,436.05
front_to_back,1.0,12,610.75
wilma,1.0,12,386.3
steffen_perfect,1.0,12,368.05
steffen_modified,1.0,12,379.3
random,1.0,13,456.5
back_to_front,1.0,13,431.05
front_to_back,1.0,13,609.0500000000001
wilma,1.0,13,400.05
steffen_perfect,1.0,13,368.65000000000003
steffen_modified,1.0,13,378.65000000000003
random,1.0,14,464.0
back_to_front,1.0,14,423.55
front_to_back,1.0,14,581.75
wilma,1.0,14,389.75
steffen_perfect,1.0,14,368.75
steffen_modified,1.0,14,375.45000000000005
random,1.0,15,456.15000000000003
back_to_front,1.0,15,458.45000000000005
front_to_back,1.0,15,635.1
wilma,1.0,15,412.95000000000005
steffen_perfect,1.0,15,373.75
steffen_modified,1.0,15,386.90000000000003
random,1.0,16,431.90000000000003
back_to_front,1.0,16,433.40000000000003
front_to_back,1.0,16,603.5
wilma,1.0,16,396.05
steffen_perfect,1.0,16,371.75
steffen_modified,1.0,16,374.1
random,1.0,17,463.15000000000003
back_to_front,1.0,17,437.8
front_to_back,1.0,17,634.8000000000001
wilma,1.0,17,398.85
steffen_perfect,1.0,17,375.15000000000003
steffen_modified,1.0,17,380.40000000000003
random,1.0,18,458.45000000000005
back_to_front,1.0,18,453.40000000000003
front_to_back,1.0,18,622.85
wilma,1.0,18,407.05
steffen_perfect,1.0,18,369.20000000000005
steffen_modified,1.0,18,376.90000000000003
random,1.0,19,475.40000000000003
back_to_front,1.0,19,440.40000000000003
front_to_back,1.0,19,607.95
wilma,1.0,19,402.05
steffen_perfect,1.0,19,373.20000000000005
steffen_modified,1.0,19,377.5
random,0.75,0,479.65000000000003
back_to_front,0.75,0,458.5
front_to_back,0.75,0,558.2
wilma,0.75,0,454.85
steffen_perfect,0.75,0,431.90000000000003
steffen_modified,0.75,0,440.75
random,0.75,1,462.55
back_to_front,0.75,1,446.1
front_to_back,0.75,1,530.7
wilma,0.75,1,425.90000000000003
steffen_perfect,0.75,1,405.15000000000003
steffen_modified,0.75,1,403.35
random,0.75,2,466.05
back_to_front,0.75,2,431.25
front_to_back,0.75,2,592.3000000000001
wilma,0.75,2,417.20000000000005
steffen_perfect,0.75,2,388.35
steffen_modified,0.75,2,394.70000000000005
random,0.75,3,486.35
back_to_front,0.75,3,450.35
front_to_back,0.75,3,581.4
wilma,0.75,3,438.3
steffen_perfect,0.75,3,395.75
steffen_modified,0.75,3,398.3
random,0.75,4,463.95000000000005
back_to_front,0.75,4,428.45000000000005
