method,seed,total_time,seated_count,sqlite_path
random,0,472.25,180,/tmp/boarding_0ui_9nqc/random_0.sqlite
back_to_front,0,461.15000000000003,180,/tmp/boarding_98_m9abi/back_to_front_0.sqlite
front_to_back,0,644.25,180,/tmp/boarding_kuer77nq/front_to_back_0.sqlite
wilma,0,415.35,180,/tmp/boarding_yg8znmh7/wilma_0.sqlite
steffen_perfect,0,372.15000000000003,180,/tmp/boarding_tntzq036/steffen_perfect_0.sqlite
steffen_modified,0,386.40000000000003,180,/tmp/boarding_pv4ar29n/steffen_modified_0.sqlite
random,1,463.90000000000003,180,/tmp/boarding_eszx9rrt/random_1.sqlite
back_to_front,1,441.3,180,/tmp/boarding_b4rx60dz/back_to_front_1.sqlite
front_to_back,1,599.95,180,/tmp/boarding_gml57swk/front_to_back_1.sqlite
wilma,1,409.70000000000005,180,/tmp/boarding_s2zpyhv0/wilma_1.sqlite
steffen_perfect,1,369.70000000000005,180,/tmp/boarding_r_a5d9tc/steffen_perfect_1.sqlite
steffen_modified,1,381.90000000000003,180,/tmp/boarding_ickij114/steffen_modified_1.sqlite
random,2,468.40000000000003,180,/tmp/boarding_c3r7i2pw/random_2.sqlite
back_to_front,2,453.40000000000003,180,/tmp/boarding_o6noocqt/back_to_front_2.sqlite
front_to_back,2,637.1,180,/tmp/boarding_r2yaxuvm/front_to_back_2.sqlite
wilma,2,406.20000000000005,180,/tmp/boarding_iopd_4op/wilma_2.sqlite
steffen_perfect,2,376.8,180,/tmp/boarding_slmwo94n/steffen_perfect_2.sqlite
steffen_modified,2,386.65000000000003,180,/tmp/boarding_0h0i4zr_/steffen_modified_2.sqlite
random,3,475.05,180,/tmp/boarding_oluyjkqi/random_3.sqlite
back_to_front,3,444.05,180,/tmp/boarding_v9jpla4q/back_to_front_3.sqlite
front_to_back,3,617.35,180,/tmp/boarding_zkcog3im/front_to_back_3.sqlite
wilma,3,416.1,180,/tmp/boarding_lyrp3adu/wilma_3.sqlite
steffen_perfect,3,369.20000000000005,180,/tmp/boarding_jpgoyniq/steffen_perfect_3.sqlite
steffen_modified,3,373.5,180,/tmp/boarding_0d8gee2z/steffen_modified_3.sqlite
random,4,435.55,180,/tmp/boarding_umjxl0gd/random_4.sqlite
back_to_front,4,461.35,180,/tmp/boarding_dd1lngss/back_to_front_4.sqlite
front_to_back,4,648.9000000000001,180,/tmp/boarding_m99cmyv0/front_to_back_4.sqlite
wilma,4,417.55,180,/tmp/boarding_2zk2ux1p/wilma_4.sqlite
steffen_perfect,4,375.90000000000003,180,/tmp/boarding_2uodthlo/steffen_perfect_4.sqlite
steffen_modified,4,387.8,180,/tmp/boarding_dx45t4fw/steffen_modified_4.sqlite
random,5,450.95000000000005,180,/tmp/boarding_m9tsuo_p/random_5.sqlite
back_to_front,5,447.65000000000003,180,/tmp/boarding_0qo6aujz/back_to_front_5.sqlite
front_to_back,5,614.6,180,/tmp/boarding_tk61j05k/front_to_back_5.sqlite
wilma,5,386.90000000000003,180,/tmp/boarding_cl318_wr/wilma_5.sqlite
steffen_perfect,5,376.25,180,/tmp/boarding_w1bizb4b/steffen_perfect_5.sqlite
steffen_modified,5,375.70000000000005,180,/tmp/boarding_tzgg245a/steffen_modified_5.sqlite
random,6,462.85,180,/tmp/boarding_cpw6t_93/random_6.sqlite
back_to_front,6,429.45000000000005,180,/tmp/boarding_5awprc0p/back_to_front_6.sqlite
front_to_back,6,597.7,180,/tmp/boarding_b36c69sh/front_to_back_6.sqlite
wilma,6,407.75,180,/tmp/boarding_kpggmdbd/wilma_6.sqlite
