method,seed,total_time,seated_count,sqlite_path
random,0,535.85,180,/tmp/boarding__5o5mf2j/random_0.sqlite
back_to_front,0,489.45000000000005,180,/tmp/boarding_l65z4lvl/back_to_front_0.sqlite
front_to_back,0,713.45,180,/tmp/boarding__3ju7d47/front_to_back_0.sqlite
wilma,0,451.05,180,/tmp/boarding_la1g083x/wilma_0.sqlite
steffen_perfect,0,415.90000000000003,180,/tmp/boarding_2jjy1gfh/steffen_perfect_0.sqlite
steffen_modified,0,400.3,180,/tmp/boarding_gjyi2dv7/steffen_modified_0.sqlite
random,1,497.65000000000003,180,/tmp/boarding_su19es8e/random_1.sqlite
back_to_front,1,470.05,180,/tmp/boarding_mpyh0nm7/back_to_front_1.sqlite
front_to_back,1,683.8000000000001,180,/tmp/boarding_lmlts8us/front_to_back_1.sqlite
wilma,1,439.6,180,/tmp/boarding_hso7j3u0/wilma_1.sqlite
steffen_perfect,1,403.6,180,/tmp/boarding_24wgrp1j/steffen_perfect_1.sqlite
steffen_modified,1,390.55,180,/tmp/boarding_vcr_75dh/steffen_modified_1.sqlite
random,2,531.15,180,/tmp/boarding_ot5_7fut/random_2.sqlite
back_to_front,2,506.0,180,/tmp/boarding_6nzxdlj_/back_to_front_2.sqlite
front_to_back,2,717.7,180,/tmp/boarding_vqb9p3hm/front_to_back_2.sqlite
wilma,2,448.75,180,/tmp/boarding_mfi7llvu/wilma_2.sqlite
steffen_perfect,2,408.25,180,/tmp/boarding_e7i484tr/steffen_perfect_2.sqlite
steffen_modified,2,405.6,180,/tmp/boarding_rnc5qpt0/steffen_modified_2.sqlite
random,3,515.25,180,/tmp/boarding_zdm6mv5m/random_3.sqlite
back_to_front,3,481.40000000000003,180,/tmp/boarding_h_27mngj/back_to_front_3.sqlite
front_to_back,3,689.5500000000001,180,/tmp/boarding_hnpws1lh/front_to_back_3.sqlite
wilma,3,459.85,180,/tmp/boarding_usee037h/wilma_3.sqlite
steffen_perfect,3,398.75,180,/tmp/boarding_3qwp4vbm/steffen_perfect_3.sqlite
steffen_modified,3,396.6,180,/tmp/boarding_ey0izkbg/steffen_modified_3.sqlite
random,4,514.5500000000001,180,/tmp/boarding_hl25qp5r/random_4.sqlite
back_to_front,4,526.65,180,/tmp/boarding_vtswz_5e/back_to_front_4.sqlite
front_to_back,4,710.45,180,/tmp/boarding_dcn2rju2/front_to_back_4.sqlite
wilma,4,465.05,180,/tmp/boarding_pe67xp5t/wilma_4.sqlite
steffen_perfect,4,413.75,180,/tmp/boarding_th9sbfdf/steffen_perfect_4.sqlite
steffen_modified,4,394.55,180,/tmp/boarding_wmd2rkcw/steffen_modified_4.sqlite
random,5,534.25,180,/tmp/boarding_ni2cge5o/random_5.sqlite
back_to_front,5,477.65000000000003,180,/tmp/boarding_qpb68tnx/back_to_front_5.sqlite
front_to_back,5,694.25,180,/tmp/boarding_dp9btbtv/front_to_back_5.sqlite
wilma,5,432.8,180,/tmp/boarding_am342iyb/wilma_5.sqlite
steffen_perfect,5,409.15000000000003,180,/tmp/boarding_wppeblgc/steffen_perfect_5.sqlite
steffen_modified,5,395.8,180,/tmp/boarding_g3wgomfv/steffen_modified_5.sqlite
random,6,517.9,180,/tmp/boarding_32jbb9ho/random_6.sqlite
back_to_front,6,486.90000000000003,180,/tmp/boarding_e8avufc2/back_to_front_6.sqlite
front_to_back,6,660.9000000000001,180,/tmp/boarding_mitdlwse/front_to_back_6.sqlite
wilma,6,481.25,180,/tmp/boarding_zeenodae/wilma_6.sqlite
steffen_perfect,6,409.55,180,/tmp/boarding_asov1pxy/steffen_perfect_6.sqlite
steffen_modified,6,392.95000000000005,180,/tmp/boarding_j8ncxfxn/steffen_modified_6.sqlite
random,7,493.35,180,/tmp/boarding_iea47afo/random_7.sqlite
back_to_front,7,477.3,180,/tmp/boarding_b5y6uc9e/back_to_front_7.sqlite
